Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110328,734590,9541.76,9478.53,9541.76,9405.2,1927184000,-306.7814409,-22.46889249,136.56,10091.48231,9786.815537,9501.492,9299.624,271.78,-955.85,-9.160582612,-0.01475600515,-59682295.21,76.21,0.13615
20110329,734591,9348.6,9459.08,9502.23,9317.38,2005688064,-294.4213012,-22.07770455,184.85,10038.26231,9755.602629,9471.644,9283.483,252.33,-795.35,-7.756160021,0.09027622137,-35785729.94,76.17,0.13615
20110330,734592,9489.51,9708.79,9708.79,9479.03,2170792960,-261.4623165,28.91947843,249.71,9994.08,9751.144283,9523.508,9393.847,100.47,88.3,0.9178326676,0.0633518698,-13237603.79,76.09,0.13615
20110331,734593,9765.28,9755.1,9765.81,9658.64,1870962432,-228.9658776,69.66231469,107.17,9959.095385,9751.521018,9587.526,9459.985,305.63,1149.95,13.36350906,0.08123238101,-1994614.345,75.98,0.13615
20110401,734594,9757.28,9708.39,9822.06,9698.6,1915411840,-204.6225607,91.41287687,123.46,9925.606538,9747.413302,9621.978,9534.557,273.38,614.67,6.759280031,0.05167077136,-19723448.36,75.82,0.13571
20110404,734597,9773.91,9718.89,9808.6,9718.89,1717654400,-182.3806736,92.98380487,100.21,9897.382692,9744.696797,9670.05,9585.771,283.88,625.17,6.874744329,0.01137681361,-42656058.04,75.92,0.13571
20110405,734598,9732.26,9615.55,9732.26,9566.05,1828966144,-171.1199282,60.86451678,166.21,9862.336154,9732.397102,9701.344,9586.494,180.54,521.83,5.7383557,0.01727202292,-70499973.1,75.92,0.13571
20110406,734599,9668.11,9584.37,9671.46,9562.16,2032852480,-162.8346156,41.90900526,109.3,9822.346923,9718.299283,9676.46,9599.984,48.24,621.7,6.936549042,0.01558370555,-73001857.24,75.55,0.13571
20110407,734600,9652.65,9590.93,9687.18,9578.47,1653776128,-153.9643039,35.42654902,108.71,9777.612308,9706.168875,9643.626,9615.576,112.4,384.18,4.172807994,0.005713731619,-92095302.22,75.57,0.13571
20110408,734601,9586.17,9768.08,9804.28,9536.68,2150061824,-131.1284266,76.59096203,267.6,9749.754615,9712.065173,9655.564,9638.771,309,561.33,6.096939745,0.02964246812,-72169911.57,74.85,0.13571
20110411,734604,9731.32,9719.7,9775.6,9700.75,1475464832,-115.6021019,85.17706037,74.85,9716.434615,9712.792299,9655.726,9662.888,10.91,111.38,1.15920369,0.02681358478,-62666207.98,75.06,0.13571
20110412,734605,9603.5,9555.26,9603.64,9513.27,1690362368,-115.2379204,-41.07465695,206.43,9672.65,9697.789223,9643.668,9672.506,-199.84,105.79,1.119533688,-0.01581350508,-74947063.65,74.87,0.13571
20110413,734606,9516.5,9641.18,9655.83,9516.5,1574013824,-106.7853233,-16.43279594,139.33,9639.425385,9692.397868,9655.03,9665.745,-67.21,206.17,2.185159316,-0.01167799407,-58497665.38,74.99,0.13571
20110414,734607,9579.79,9653.92,9676.97,9553.75,1530602368,-97.92969506,-2.970960051,123.22,9605.915,9688.733309,9667.628,9655.627,69.55,117.79,1.235197087,-0.005610611028,-38950208,74.71,0.13571
20110415,734608,9646.22,9591.52,9651.96,9577.96,1478962432,-94.85329467,-35.01636522,75.96,9567.531154,9679.474899,9632.316,9643.94,0.59,112.99,1.192062482,-0.01310540607,-41476069.74,74.83,0.135
20110418,734611,9593.41,9556.65,9608.92,9539.03,1100902272,-94.14371266,-96.96836052,69.89,9533.772308,9667.77729,9599.706,9627.716,-211.43,97.57,1.031495663,-0.006125494641,-15823115.17,75.49,0.135
20110419,734612,9448.65,9441.03,9478.87,9405.19,1315035136,-101.7381574,-195.5302624,151.46,9502.487692,9646.18231,9576.86,9610.264,-278.67,-267.76,-2.75791319,-0.01495559959,11461424.98,75.07,0.135
20110420,734613,9536.79,9606.82,9631,9519.36,1259225216,-93.3033986,-45.24186866,189.97,9501.961923,9642.433518,9569.988,9612.509,51.56,-148.28,-1.520025423,0.001654033281,-10667856.35,74.35,0.135
20110421,734614,9686.27,9685.77,9725.12,9643.92,1179720576,-79.33367706,72.80580201,118.3,9543.524231,9646.560802,9576.358,9621.993,44.59,-22.62,-0.2329943482,-0.008426425664,-14130418.2,74.11,0.135
20110422,734615,9623,9682.21,9732.63,9611.38,1261858048,-67.76863965,75.58010289,121.25,9566.158462,9649.955964,9594.496,9613.406,28.29,97.84,1.020828703,-0.003857114932,-22860036.76,74.11,0.135
20110425,734618,9705.9,9671.96,9748.4,9657.24,1005619840,-58.75308453,85.67003307,91.16,9593.438846,9652.051586,9617.558,9608.632,80.44,81.03,0.8448607174,0.01206580672,-49226104.42,74.02,0.135
20110426,734619,9627.43,9558.69,9627.43,9536.51,1002690368,-60.05584808,-53.07473433,135.45,9606.975,9643.160007,9641.09,9608.975,2.04,-209.39,-2.143614712,-0.00855600663,-38535024.48,73.76,0.135
20110427,734620,9631.53,9691.84,9728.03,9630.37,1158748928,-49.77048222,64.24371994,169.34,9610.187308,9647.796197,9658.094,9614.041,250.81,-27.86,-0.2866343611,0.003912569749,-21550827.22,73.38,0.135
20110428,734621,9749.36,9849.74,9849.74,9712.58,1580766848,-28.54895076,166.4485797,157.9,9625.582308,9667.02894,9690.888,9633.623,242.92,294.48,3.081862765,0.02621592042,-4020834.959,73.11,0.135
20110502,734625,9964.39,10004.2,10017.47,9936.27,1277676288,0.7245448295,249.5697248,167.73,9647.474231,9699.140469,9755.286,9674.891,318.43,363.02,3.765306736,0.04473621079,11166486.31,73.05,0.135
20110506,734629,9851.15,9859.2,9876.1,9782.66,1324426624,12.08441124,116.7809808,221.54,9659.9,9714.384234,9792.734,9705.146,167.36,418.17,4.429283669,0.04241419182,320028.4012,74.91,0.135
20110509,734632,9881.67,9794.38,9897.88,9776.74,1107060480,15.67605117,89.45535073,121.14,9672.048077,9722.002878,9839.872,9740.481,-55.36,187.56,1.952363009,0.01914975731,-28374900.88,74.67,0.135
20110510,734633,9804.27,9818.76,9853.13,9755.93,1319084672,20.25621293,67.26457436,97.2,9685.881923,9731.217842,9865.256,9761.675,-30.98,132.99,1.373045199,0.01354448016,-24631274.08,74.54,0.135
20110511,734634,9912.48,9864.26,9929.04,9842.67,1416797952,27.24344835,90.04928716,110.28,9691.861538,9743.888524,9868.16,9779.524,-139.94,182.05,1.880252546,0.01845551516,-24956190.12,75.32,0.135
20110512,734635,9770.71,9716.65,9836.71,9716.65,1449010176,20.63215475,15.3319407,147.61,9690.382692,9741.294379,9810.65,9782.968,-287.55,44.69,0.4620573286,0.004599321783,-20946180.18,75.21,0.135
20110513,734636,9751.45,9648.77,9751.45,9552.93,2126217856,9.80231327,-65.67150663,198.52,9688.089615,9732.482533,9768.564,9780.649,-355.43,90.08,0.9423885491,0.009335904991,-19100855.95,75.71,0.135
20110516,734639,9571.13,9558.3,9598.33,9552.86,1261440128,-6.011292598,-119.6439992,95.91,9681.913077,9715.893721,9721.348,9780.61,-300.9,-133.54,-1.377860138,-0.01377860138,-7085523.674,75.59,0.135
20110517,734640,9513.5,9567.02,9593.13,9502.39,1360339072,-17.63675255,-113.124774,90.74,9680.046538,9701.715271,9671,9768.128,-227.36,-282.72,-2.870329572,-0.02870329572,10327286.62,75.36,0.135
20110518,734641,9602.88,9662.08,9693.6,9590.4,1327536896,-18.96089636,-52.05145658,126.58,9683.035385,9697.940483,9630.564,9749.362,-156.68,-187.66,-1.905227955,-0.03419763699,3326854.218,75.37,0.135
20110519,734642,9711.32,9620.82,9731.12,9600.81,1171885568,-23.07364839,-47.56747083,130.31,9684.185,9690.595675,9611.398,9711.024,-243.44,-383.38,-3.83219048,-0.02417843233,-2521296.54,75.11,0.135
20110520,734643,9612.87,9607.08,9670.92,9600.48,1208246528,-27.12901082,-66.76568173,70.44,9677.992692,9682.641802,9603.06,9685.812,-109.57,-397.12,-3.969532796,-0.01912321147,5508800.354,75.43,0.135
20110523,734646,9547.86,9460.63,9547.86,9437.87,1315245952,-41.67974765,-129.5312442,169.21,9668.028462,9661.49782,9583.526,9652.437,-188.14,-543.57,-5.433417964,-0.03647405579,-19007173.09,76.15,0.135
20110524,734647,9406.04,9477.17,9490.35,9406.04,1158775424,-51.2854845,-120.254361,84.31,9665.025,9643.94279,9565.556,9618.278,-81.13,-382.03,-3.874858001,-0.03924166638,-18439116.59,75.92,0.135
20110525,734648,9492.43,9422.88,9503.77,9415.33,1166897280,-62.55772296,-118.7756516,88.44,9656.628846,9622.889191,9517.716,9574.14,-144.14,-371.5,-3.792991491,-0.03023367107,-16683369.84,75.92,0.135
20110526,734649,9499.45,9562.05,9567.46,9489.12,1174666496,-59.57445994,-58.03382832,144.58,9653.095385,9617.094982,9505.962,9558.68,-100.03,-256.71,-2.614484925,-0.008987674077,-1506425.024,75.58,0.135
20110527,734650,9514.16,9521.94,9588.7,9493.44,1089144704,-59.75789252,-52.05937385,95.26,9650.419231,9608.032603,9488.934,9545.997,-98.88,-342.32,-3.470305933,-0.003804023728,743104.6037,74.76,0.135
20110530,734653,9489.78,9504.97,9540.02,9448,936571520,-60.57433806,-67.38115239,92.02,9648.431538,9598.217117,9497.802,9540.664,-102.11,-211.68,-2.178528608,-0.006485823172,-5609790.378,74.92,0.135
