Ntime,Matlab_time,Close
20140612,735762,23143
20140613,735763,23249
20140616,735766,23218
20140617,735767,23156
20140618,735768,23173
20140619,735769,23195
20140620,735770,23171
20140623,735773,22766
20140624,735774,22886
20140625,735775,22898
20140626,735776,23192
20140627,735777,23193
20140630,735780,23104
20140702,735782,23545
20140703,735783,23548
20140704,735784,23547
20140707,735787,23539
20140708,735788,23544
20140709,735789,23159
20140710,735790,23206
20140711,735791,23218
20140714,735794,23366
20140715,735795,23436
20140716,735796,23513
20140717,735797,23493
20140718,735798,23409
20140721,735801,23326
20140722,735802,23789
20140723,735803,23959
20140724,735804,24151
20140725,735805,24235
20140728,735808,24388
20140729,735809,24630
20140730,735810,24824
20140731,735811,24766
20140801,735812,24498
20140804,735815,24515
20140805,735816,24591
20140806,735817,24500
20140807,735818,24370
20140808,735819,24300
20140811,735822,24596
20140812,735823,24633
20140813,735824,24895
20140814,735825,24756
20140815,735826,24904
20140818,735829,24903
20140819,735830,25107
20140820,735831,25113
20140821,735832,24995
20140822,735833,25103
20140825,735836,25179
20140826,735837,25083
20140827,735838,24932
20140828,735839,24894
20140829,735840,24683
20140901,735843,24697
20140902,735844,24692
20140903,735845,25315
20140904,735846,25197
20140905,735847,25161
20140908,735850,25145
20140910,735852,24630
20140911,735853,24648
20140912,735854,24561
20140915,735857,24409
20140916,735858,24183
20140917,735859,24375
20140918,735860,24153
20140919,735861,24292
20140922,735864,23991
20140923,735865,23814
20140924,735866,23878
20140925,735867,23760
20140926,735868,23670
20140929,735871,23228
20140930,735872,22820
20141003,735875,22993
20141006,735878,23252
20141007,735879,23344
20141008,735880,23226
20141009,735881,23490
20141010,735882,23016
20141013,735885,23176
20141014,735886,22960
20141015,735887,23092
20141016,735888,22851
20141017,735889,23040
20141020,735892,23026
20141021,735893,23016
20141022,735894,23353
20141023,735895,23387
20141024,735896,23323
20141027,735899,23218
20141028,735900,23579
20141029,735901,23823
20141030,735902,23705
20141031,735903,23943
20141103,735906,23830
20141104,735907,23811
20141105,735908,23702
20141106,735909,23652
20141107,735910,23504
20141110,735913,23741
20141111,735914,23763
20141112,735915,23912
20141113,735916,23981
20141114,735917,24030
20141117,735920,23771
20141118,735921,23441
20141119,735922,23313
20141120,735923,23284
20141121,735924,23414
20141124,735927,23895
20141125,735928,23907
20141126,735929,24167
20141127,735930,24029
20141128,735931,23980
20141201,735934,23294
20141202,735935,23684
20141203,735936,23433
20141204,735937,23828
20141205,735938,24081
20141208,735941,24027
20141209,735942,23493
20141210,735943,23497
20141211,735944,23363
20141212,735945,23182
20141215,735948,22966
20141216,735949,22603
20141217,735950,22594
20141218,735951,22791
20141219,735952,23159
20141222,735955,23450
20141223,735956,23364
20141224,735957,23400
20141229,735962,23827
20141230,735963,23574
20141231,735964,23649
20150102,735966,23816
20150105,735969,23762
20150106,735970,23440
20150107,735971,23655
20150108,735972,23835
20150109,735973,23929
20150112,735976,24049
20150113,735977,24248
20150114,735978,24136
20150115,735979,24408
20150116,735980,24224
20150119,735983,23771
20150120,735984,23969
20150121,735985,24305
20150122,735986,24580
20150123,735987,24930
20150126,735990,24862
20150127,735991,24778
20150128,735992,24878
20150129,735993,24596
20150130,735994,24535
20150202,735997,24504
20150203,735998,24537
20150204,735999,24656
20150205,736000,24770
20150206,736001,24622
20150209,736004,24513
20150210,736005,24528
20150211,736006,24320
20150212,736007,24450
20150213,736008,24728
20150216,736011,24754
