Date,Ntime,close price
20150427,736081,8223
20150428,736082,8292.4
20150429,736083,8238.25
20150430,736084,8181.5
20150504,736088,8372.25
20150505,736089,8361.7
20150506,736090,8121.75
20150507,736091,8082.15
20150508,736092,8210.55
20150511,736095,8342.15
20150512,736096,8131.25
20150513,736097,8250.75
20150514,736098,8237.8
20150515,736099,8261.2
20150518,736102,8372.8
20150519,736103,8366.3
20150520,736104,8424.3
20150521,736105,8419.1
20150522,736106,8452.05
20150525,736109,8368.45
20150526,736110,8337.9
20150527,736111,8331.75
20150528,736112,8319
20150529,736113,8458.65
20150601,736116,8431.65
20150602,736117,8225.35
20150603,736118,8136.35
20150604,736119,8141.6
20150605,736120,8114.25
20150608,736123,8044.2
20150609,736124,8030.6
20150610,736125,8120.05
20150611,736126,7959.2
20150612,736127,7978.7
20150615,736130,8009.2
20150616,736131,8047
20150617,736132,8079.05
20150618,736133,8157.55
20150619,736134,8237.6
20150622,736137,8353.15
20150623,736138,8377.4
