Close Price,Volume,EMA20,WVAD,US Dollar Index,Federal Fund Rate
1028.93,578578.0,1006.374056,33380482.46,78.31,0.14
1020.62,500456.0,1007.7308130000001,30091046.62,78.16,0.15
998.04,686236.0,1006.807878,23990438.82,78.74,0.15
994.75,584273.0,1005.659509,15918444.04,78.42,0.16
1003.24,462428.0,1005.4290800000001,21241077.61,78.43,0.15
1016.4,409737.0,1006.4739289999999,18727060.55,78.19,0.15
1025.39,523516.0,1008.27546,24243897.85,77.28,0.15
1033.37,520255.0,1010.665416,34592396.19,77.08,0.15
1044.14,519138.0,1013.853472,48862398.42,76.82,0.16
1042.73,492260.0,1016.603617,40497045.4,76.73,0.15
1049.34,497961.0,1019.721368,48752673.7,76.63,0.16
1052.63,618562.0,1022.8555230000001,60535935.44,76.51,0.17
1068.76,679352.96,1027.227378,66748122.03,76.25,0.17
1065.49,666811.0,1030.871437,60420388.85,76.2,0.16
1068.3,560797.0,1034.436062,69504666.9,76.44,0.16
1064.66,461528.0,1037.314533,76608617.12,76.75,0.15
1071.66,524660.0,1040.58553,77089210.98,76.11,0.15
1060.87,553193.0,1042.517384,66048281.59,76.54,0.15
1050.78,550561.0,1043.3043,52022296.75,76.87,0.14
1044.38,450709.0,1043.406747,36038926.44,76.68,0.13
1062.98,372695.0,1045.270867,43979386.98,76.93,0.13
1060.61,494990.0,1046.7317369999998,40496165.23,77.06,0.11
1057.08,599886.0,1047.717285,36369500.09,76.7,0.07
1029.85,579145.0,1046.015639,21238054.2,77.18,0.11
1025.21,558324.0,1044.03415,18150575.54,77.03,0.13
1040.46,431331.0,1043.693755,30537955.36,76.7,0.13
1054.72,502984.0,1044.7438730000001,46876579.97,76.29,0.12
1057.58,423822.0,1045.966361,53013528.89,76.4,0.13
1065.48,498840.0,1047.824803,52124952.03,75.9,0.12
1071.49,376378.0,1050.078631,51234033.82,76.34,0.12
1076.19,371043.0,1052.5654279999999,46141756.34,76.16,0.12
1073.19,432048.0,1054.529673,37406447.06,75.82,0.12
1092.02,540642.0,1058.100181,39083688.02,75.46,0.12
1096.56,536978.0,1061.763021,47452191.52,75.45,0.13
1087.68,489474.0,1064.231304,34292180.75,75.58,0.12
1097.91,461924.0,1067.438799,36932068.68,75.23,0.12
1091.06,539693.0,1069.688437,18176434.79,75.51,0.12
1081.4,561629.0,1070.803824,15071155.22,75.12,0.11
1092.91,519241.0,1072.9091740000001,16813570.22,75.09,0.11
1079.6,476746.0,1073.5463960000002,10307745.77,75.45,0.11
1066.95,636338.0,1072.918168,-3300945.2569999998,76.03,0.11
1063.41,533738.0,1072.012628,-683413.0301,76.14,0.11
1042.63,660035.0,1069.2142820000001,-6480044.472,76.44,0.11
1066.11,559504.0,1068.9186359999999,9007774.507000001,75.94,0.11
1036.19,651242.0,1065.801623,-10821159.95,76.39,0.11
1042.88,620264.0,1063.618612,-4826574.875,76.04,0.12
1045.41,548750.0,1061.884458,2817446.23,76.28,0.12
1046.5,563551.0,1060.419272,15775382.97,75.78,0.13
1066.63,484835.0,1061.0107699999999,31306254.88,75.73,0.13
1069.3,427713.0,1061.8002199999999,26938948.25,75.77,0.12
1093.08,446003.0,1064.7792470000002,30117867.92,75.04,0.12
1093.01,439477.0,1067.4678900000001,26823331.49,74.99,0.13
1098.51,428670.0,1070.424281,23323506.79,75.07,0.13
1087.24,416025.0,1072.025778,11627400.88,75.67,0.12
1093.48,379261.0,1074.069038,10770396.44,75.29,0.12
1109.3,456585.0,1077.424367,20280891.58,74.9,0.12
1110.32,382407.0,1080.5572849999999,10593289.77,75.28,0.12
1109.8,429334.0,1083.3423050000001,3876953.5289999996,75.06,0.11
1094.9,417803.0,1084.4430380000001,4286401.53,75.26,0.11
1091.38,375123.0,1085.103701,-6412316.228999999,75.6,0.11
1106.24,382792.0,1087.116682,5234951.408,75.13,0.12
